,RegionID,Parameters,MSE,AIC,Output
39,96040,"(6, 0, 0)",240454.8746642218,1513.360832533737,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2a929978>
40,62048,"(2, 0, 2)",115952828.81997666,2177.6955257866393,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2a5a6d30>
41,62104,"(4, 2, 1)",2078122.426844424,1736.4190811047029,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c23291240>
42,91723,"(1, 0, 2)",307070.018826934,1566.4597239463274,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2a9297f0>
43,96000,"(8, 2, 2)",5199217.9593934845,1740.040865720262,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c26316080>
44,62033,"(1, 0, 2)",111673170.06689331,2132.8456283027513,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2785d5f8>
45,61781,"(8, 2, 1)",774048.3966874087,1552.3126936446881,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c26d12128>
46,61811,"(2, 2, 1)",22314368.588348452,2023.5163894305801,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2a05ed30>
47,91681,"(6, 2, 1)",246777.92902266345,1442.1013055770381,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2a599ef0>
48,61796,"(10, 0, 2)",2135737.9594897884,736.3570858819917,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2a324898>
49,61780,"(6, 2, 0)",802381.12295832,1589.3986409912575,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2ad08b38>
50,62080,"(10, 0, 0)",2315512.755029234,1688.7334160556002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2af0b208>
51,95988,"(10, 0, 0)",3292870.6170696956,1657.2927295756037,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2b99bdd8>
52,91662,"(6, 2, 2)",133446.99237715817,1401.093215895127,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c23286588>
53,91664,"(6, 2, 1)",72903.22373127457,1352.235247710992,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c27821048>
54,91740,"(8, 2, 1)",116552.62799712396,1440.0179419406993,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c27abb860>
55,96019,"(10, 0, 0)",13512987.840099446,1838.908583394802,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2b9bd358>
56,91702,"(0, 2, 1)",147780.6491852183,1568.5617583662458,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2a3f9eb8>
57,62006,"(10, 0, 2)",11658666.254599601,1808.1534578333767,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2ad089e8>
58,96004,"(6, 1, 2)",582481.7205244784,1641.997940819073,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2a5a6b38>
59,62101,"(1, 0, 2)",19371574.305460077,1973.7949186731316,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2b99b2e8>
60,61779,"(8, 2, 1)",680256.9352493103,1577.8167480844306,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2693fc50>
61,91727,"(2, 0, 2)",261399.12002392308,1538.6745463801171,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2b996940>
62,91666,"(6, 1, 2)",196685.48129748326,1420.9372590886408,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2a5a69b0>
63,62068,"(8, 0, 1)",2702927.544940171,1755.1221495479613,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c29d47358>
64,62081,"(10, 2, 2)",2214418.4454117836,1646.7660160414969,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2b99b400>
65,62182,"(8, 2, 0)",6629337.231471099,1857.0111554112948,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2a5ae550>
66,62032,"(1, 0, 2)",19267070.965739913,1966.8533921864619,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2bdce908>
67,62039,"(1, 0, 2)",2015811.5208094188,1775.1977677423852,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c237e0ba8>
68,91709,"(6, 1, 1)",162173.81201330665,1437.8549439314172,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2b9bdf98>
69,62119,"(6, 0, 2)",2468387.2882680935,1740.0828466284586,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c26d9d128>
70,96282,"(1, 0, 2)",1173066.2908633687,1821.3630605612318,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c27839710>
71,91735,"(8, 0, 2)",92469.07356517114,1362.598288224616,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2693fcc0>
72,96411,"(2, 2, 2)",439294.3589292436,1618.7680128033192,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2c2a9ac8>
73,91683,"(10, 2, 2)",70260.4708839588,1320.4887135796707,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2b618ba8>
