,RegionID,Parameters,2018-04-01,2019-04-01,2021-04-01,2023-04-01,ROI_1,ROI_3,ROI_5,RegionName,City,MSE,AIC
0,62107,"(6, 2, 2)",547100.0,603898.6676497936,721225.8390697505,838284.9739008714,0.1038177072743438,0.31827058868534186,0.5322335476162883,11421,New York,620897.3304240003,1615.4258425886828
1,61779,"(8, 2, 1)",374500.0,433348.50475087465,551782.2888282556,670228.4204111553,0.15713886448831693,0.473383948807091,0.789662003768105,10303,New York,680256.9352493103,1577.8167480844306
2,61781,"(8, 2, 1)",521600.0,575544.4231220089,687878.1921272704,800012.6295577509,0.10342105659894352,0.3187848775446134,0.5337665443975286,10305,New York,774048.3966874088,1552.3126936446881
3,61780,"(6, 2, 0)",529800.0,582934.2725917031,695416.0494639897,807604.8985963658,0.10029119024481514,0.3126010748659678,0.5243580569957831,10304,New York,802381.12295832,1589.3986409912577
4,62023,"(6, 1, 2)",428400.0,438236.673600042,439200.9676416751,439208.86845306505,0.022961422969285827,0.02521234276768225,0.0252307853713003,11212,New York,1164326.8644677543,1648.2043304228578
5,62079,"(10, 0, 1)",815900.0,879142.1213159154,1021105.3225233875,1185387.1087563254,0.07751209868355846,0.25150793298613494,0.4528583267022006,11367,New York,1521554.3030915402,1654.4702324780758
6,62035,"(8, 0, 2)",517900.0,543814.849980481,590821.1157854602,641441.8359726797,0.05003832782483286,0.14080153656200078,0.23854380377037976,11224,New York,1866211.6709507243,1804.420207066496
7,62039,"(1, 0, 2)",775500.0,822652.2602825364,930763.0869402206,1053081.5580728543,0.060802398816939274,0.20021029908474608,0.3579388240784711,11229,New York,2015811.5208094188,1775.1977677423852
8,62104,"(4, 2, 1)",611500.0,643978.0931428226,710017.6724806989,776060.5675077944,0.05311217194247364,0.16110821337808479,0.2691096770364585,11418,New York,2078122.426844424,1736.4190811047029
9,62093,"(2, 0, 2)",657500.0,707128.4311268423,797827.6451370782,900022.8681404124,0.07548050361496927,0.21342607625411136,0.36885607321735714,11385,New York,2124329.1454858934,1778.4860173486459
10,96040,"(6, 0, 0)",367200.0,401269.909959262,491270.5192774469,601570.2054524587,0.09278297919188994,0.3378826777708248,0.6382630867441685,90059,Los Angeles,240454.8746642218,1513.3608325337368
11,95984,"(10, 0, 2)",358400.0,394717.8628182915,484432.9284018903,594275.9557789408,0.1013333225956794,0.35165437612134576,0.6581360373296339,90003,Los Angeles,293488.1503133313,1486.6464767629159
12,95983,"(8, 0, 0)",362300.0,396444.6289011821,487589.1593253616,599903.2246848305,0.09424407645923849,0.34581606217323113,0.6558190027182735,90002,Los Angeles,396982.13645334344,1509.434964430896
13,96375,"(6, 0, 1)",542500.0,580431.4356470105,677167.3729566176,793645.8332606612,0.06991969704518053,0.24823478886012462,0.4629416281302512,91352,Los Angeles,407448.28632466827,1621.9059526919784
14,96411,"(2, 2, 2)",512400.0,509423.79487210454,504079.983717509,498736.2087762675,-0.0058083628569388646,-0.01623734637488483,-0.026666259218837918,91402,Los Angeles,439294.3589292436,1618.7680128033194
15,96028,"(8, 0, 1)",479600.0,526325.9367864974,639354.1901032504,777175.2222547255,0.09742689071413135,0.3330988117248759,0.6204654342258664,90047,Los Angeles,502843.92835957935,1578.2606871333292
16,96042,"(8, 2, 2)",383600.0,388288.2539080095,400084.15460805525,411864.82132045814,0.012221725516187387,0.042972248717558115,0.0736830587081807,90061,Los Angeles,528662.725350545,1515.8619938845566
17,96025,"(8, 0, 2)",421100.0,455613.8484728673,549762.9981720175,663476.4750855454,0.0819611694914919,0.30554024738071117,0.57557937564841,90044,Los Angeles,528972.418750677,1530.0720745318513
18,96004,"(6, 1, 2)",407800.0,405455.3478495667,404433.95751203946,404309.123170529,-0.005749514836766223,-0.008254150289260798,-0.008560266869717892,90023,Los Angeles,582481.7205244785,1641.997940819073
19,96450,"(1, 0, 2)",566900.0,608577.6120031674,711456.8459286838,831727.6771859893,0.07351845475951202,0.2549953182725062,0.46715060360908334,91605,Los Angeles,650711.046695734,1732.2693606737241
20,91683,"(10, 2, 2)",142800.0,151144.1931406452,168227.63199069738,185422.22805649065,0.05843272507454622,0.17806464979479952,0.2984749863899905,77034,Houston,70260.4708839588,1320.4887135796707
21,91664,"(6, 2, 1)",134100.0,145662.7583703264,169428.83625201922,193220.94462774295,0.0862248946333064,0.2634514261895542,0.44087207030382514,77015,Houston,72903.22373127457,1352.2352477109919
22,91735,"(8, 0, 2)",135600.0,139399.30834655953,153315.9327863832,169661.57724151228,0.028018498130969904,0.13064847187598239,0.2511915725775242,77086,Houston,92469.07356517113,1362.598288224616
23,91720,"(4, 0, 0)",163800.0,173249.6229904397,192586.7833218284,213994.68244658393,0.05769000604664054,0.17574348792325045,0.3064388427752376,77071,Houston,102708.96195685664,1499.590434564954
24,91740,"(8, 2, 1)",129000.0,135380.05671051593,149597.05569541547,163790.35328378147,0.04945780395748778,0.15966709841407334,0.2696926611145851,77091,Houston,116552.62799712394,1440.017941940699
25,91662,"(6, 2, 2)",119700.0,126326.3174187479,140583.21416390632,154861.48289629866,0.05535770608811941,0.1744629420543553,0.29374672427985526,77013,Houston,133446.99237715814,1401.093215895127
26,91694,"(2, 2, 0)",117700.0,124806.98447275921,137829.95359809496,150869.325864483,0.060382196030239754,0.17102764314439223,0.2818124542436957,77045,Houston,142627.18276222388,1476.8392821091195
27,91702,"(0, 2, 1)",118700.0,119445.33297202822,120935.99891608469,122426.66486014116,0.006279132030566403,0.01883739609169921,0.03139566015283202,77053,Houston,147780.6491852183,1568.5617583662458
